"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession",Location
rs9715521-<b>?</b>,"7 x 10-6",,NR,'-,"0.668 unit increase",[0.25-1.09],LINC02619,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,4:58958769
rs116191236-<b>?</b>,"9 x 10-6",,NR,'-,"0.784 unit decrease",[0.32-1.25],RPS23P3,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,4:66384883
rs116376586-<b>?</b>,"8 x 10-6",,NR,'-,"0.928 unit decrease",[0.4-1.46],FSTL5,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,4:161712567
rs17295603-<b>?</b>,"8 x 10-6",,NR,'-,"1.185 unit decrease",[0.53-1.84],"HPGD, GLRA3","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,4:174540366
rs12040333-<b>?</b>,"1 x 10-6",,NR,'-,"0.179 unit decrease",[0.1-0.25],ST3GAL3,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,1:43848369
rs663970-<b>?</b>,"9 x 10-6",,NR,'-,"0.163 unit decrease",[0.09-0.236],"GUSBP1, CDH12","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,5:21665532
rs74910095-<b>?</b>,"9 x 10-7",,NR,'-,"0.302 unit decrease",[0.11-0.49],'-,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,5:63545132
rs73303785-<b>?</b>,"3 x 10-6",,NR,'-,"0.247 unit decrease",[0.13-0.36],LINC01847,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,5:159754803
rs61828378-<b>?</b>,"7 x 10-6",,NR,'-,"0.186 unit decrease",[0.1-0.27],CAPN9,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,1:230751478
rs6758955-<b>?</b>,"8 x 10-6",,NR,'-,"0.142 unit increase",[0.071-0.213],'-,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,"Mapping not available"
rs6730144-<b>?</b>,"3 x 10-6",,NR,'-,"0.156 unit increase",[0.076-0.236],"ZFYVE9P2, PSMC1P10","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:17307513
rs2680830-<b>?</b>,"8 x 10-8",,NR,'-,"0.176 unit decrease",[0.12-0.24],VSNL1,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:17596817
rs2862774-<b>?</b>,"5 x 10-6",,NR,'-,"0.16 unit increase",[0.086-0.234],IL36B,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:113040100
rs12623054-<b>?</b>,"4 x 10-6",,NR,'-,"0.127 unit increase",[0.056-0.198],"RN7SL283P, LINC01853","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:140015877
rs75107833-<b>?</b>,"2 x 10-6",,NR,'-,"0.336 unit decrease",[0.17-0.5],OLA1,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:174100883
rs7593919-<b>?</b>,"5 x 10-6",,NR,'-,"0.108 unit decrease",[0.039-0.177],IMPDH1P7,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:186954207
rs80176144-<b>?</b>,"7 x 10-6",,NR,'-,"0.399 unit decrease",[0.2-0.59],"DOCK10, CCDC195","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:224758388
rs10211205-<b>?</b>,"2 x 10-6",,NR,'-,"0.131 unit increase",[0.057-0.205],AGAP1,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,2:235708822
rs35061271-<b>?</b>,"9 x 10-6",,NR,'-,"0.181 unit decrease",[0.1-0.26],"LSM3, LINC01267","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:14283089
rs12715234-<b>?</b>,"9 x 10-6",,NR,'-,"0.211 unit decrease",[0.12-0.3],LINC01811,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:34017837
rs2046867-<b>?</b>,"5 x 10-6",,NR,'-,"0.328 unit increase",[0.19-0.47],"RNA5SP136, SHQ1","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:72731924
rs450495-<b>?</b>,"3 x 10-6",,NR,'-,"0.167 unit increase",[0.083-0.251],"CADM2, LINC02025","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:84956870
rs1404100-<b>?</b>,"2 x 10-6",,NR,'-,"0.158 unit decrease",[0.087-0.229],U7,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:99071923
rs6800780-<b>?</b>,"9 x 10-6",,NR,'-,"0.119 unit increase",[0.062-0.176],"NIT2, TBC1D23","Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:100327768
rs72928364-<b>?</b>,"1 x 10-6",,NR,'-,"0.18 unit decrease",[0.11-0.25],ABI3BP,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,3:100894935
rs74155456-<b>?</b>,"2 x 10-6",,NR,'-,"0.201 unit decrease",[0.095-0.307],LINC00845,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,10:61070020
rs3774830-<b>?</b>,"3 x 10-6",,NR,'-,"0.116 unit decrease",[0.061-0.171],STK32B,"Coronary artery calcified atherosclerotic plaque (130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005173,4:5438356
rs116731241-<b>?</b>,"2 x 10-6",,NR,'-,"1.427 unit increase",[0.7-2.16],RPL15P2,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,14:94850442
rs78450122-<b>?</b>,"8 x 10-6",,NR,'-,"0.961 unit increase",[0.29-1.63],RAB11FIP3,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,16:455954
rs288646-<b>?</b>,"6 x 10-6",,NR,'-,"1.35 unit decrease",[0.7-2],'-,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,16:62566885
rs115689251-<b>?</b>,"1 x 10-6",,NR,'-,"1.924 unit increase",[1-2.84],"CCL23, CCL18","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,17:36032377
rs60229149-<b>?</b>,"4 x 10-6",,NR,'-,"0.506 unit decrease",[0.23-0.78],ANKFN1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,17:56379283
rs9897733-<b>?</b>,"9 x 10-6",,NR,'-,"0.499 unit increase",[0.21-0.79],"RNA5SP447, PSMD12","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,17:67332883
rs6506900-<b>?</b>,"7 x 10-7",,NR,'-,"1.926 unit decrease",[0.89-2.96],"DSC1, DSG1","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,18:31226433
rs28589923-<b>?</b>,"3 x 10-6",,NR,'-,"1.479 unit increase",[0.71-2.25],"DTNA, MAPRE2","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,18:34966632
rs8103771-<b>?</b>,"2 x 10-6",,NR,'-,"0.741 unit increase",[0.35-1.13],MYADM-AS1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,19:53864343
rs149406809-<b>?</b>,"8 x 10-6",,NR,'-,"1.018 unit decrease",[0.45-1.58],CABLES2,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,20:62399351
rs139205844-<b>?</b>,"7 x 10-6",,NR,'-,"0.963 unit decrease",[0.33-1.6],MICAL3,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,22:17949180
rs188349311-<b>?</b>,"4 x 10-6",,NR,'-,"0.893 unit increase",[0.38-1.41],"FAM230I, LINC01659","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,22:23449031
rs2861451-<b>?</b>,"3 x 10-6",,NR,'-,"0.22 unit decrease",[0.1-0.34],POU2F1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,1:167343172
rs113533135-<b>?</b>,"3 x 10-7",,NR,'-,"0.189 unit increase",[0.091-0.287],LRP1B,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,2:140268867
rs16866369-<b>?</b>,"7 x 10-6",,NR,'-,"0.121 unit decrease",[0.056-0.186],TTN-AS1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,2:178524267
rs9973676-<b>?</b>,"6 x 10-7",,NR,'-,"0.202 unit decrease",[0.1-0.3],GPR55,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,2:230954091
rs162211-<b>?</b>,"4 x 10-6",,NR,'-,"0.147 unit increase",[0.067-0.227],GRM7,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,3:7781368
rs7632954-<b>?</b>,"4 x 10-6",,NR,'-,"0.089 unit increase",[0.04-0.138],LMCD1-AS1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,3:8486196
rs139034117-<b>?</b>,"3 x 10-6",,NR,'-,"0.178 unit decrease",[0.086-0.27],NFU1P1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,3:39656373
rs7620766-<b>?</b>,"8 x 10-6",,NR,'-,"0.128 unit increase",[0.057-0.199],ARHGEF3,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,3:56886346
rs77719492-<b>?</b>,"4 x 10-6",,NR,'-,"0.272 unit increase",[0.13-0.41],LINC01322,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,3:165346697
rs80183344-<b>?</b>,"5 x 10-6",,NR,'-,"0.153 unit decrease",[0.073-0.233],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,4:32768534
rs74570061-<b>?</b>,"1 x 10-6",,NR,'-,"0.186 unit decrease",[0.096-0.276],ARL9,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,4:56517605
rs17865343-<b>?</b>,"6 x 10-6",,NR,'-,"0.198 unit decrease",[0.088-0.308],LINC02262,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,4:117351922
rs6451042-<b>?</b>,"9 x 10-6",,NR,'-,"0.154 unit decrease",[0.068-0.24],HSPD1P15,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:19210783
rs10079927-<b>?</b>,"4 x 10-6",,NR,'-,"0.204 unit increase",[0.086-0.322],GUSBP1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:21282998
rs7730262-<b>?</b>,"4 x 10-6",,NR,'-,"0.121 unit decrease",[0.041-0.201],"MEF2C-AS1, MEF2C","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:88892421
rs74409630-<b>?</b>,"5 x 10-6",,NR,'-,"0.278 unit decrease",[0.092-0.464],"CTBP2P4, MTCO1P24","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:98504497
rs6898559-<b>?</b>,"5 x 10-7",,NR,'-,"0.09 unit increase",[0.041-0.139],ALDH7A1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:126557237
rs2546338-<b>?</b>,"7 x 10-6",,NR,'-,"0.128 unit increase",[0.059-0.197],WSPAR,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,5:133866276
rs16879003-<b>?</b>,"1 x 10-7",,NR,'-,"0.194 unit decrease",[0.11-0.28],ATXN1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:16745008
rs12529540-<b>?</b>,"7 x 10-6",,NR,'-,"0.218 unit decrease",[0.11-0.33],STMND1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:17031825
rs115202710-<b>?</b>,"7 x 10-6",,NR,'-,"0.184 unit decrease",[0.066-0.302],ACOT13,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:24704340
rs190225848-<b>?</b>,"5 x 10-6",,NR,'-,"0.153 unit decrease",[0.053-0.253],"FAXC, BDH2P1","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:99252162
rs183838294-<b>?</b>,"4 x 10-6",,NR,'-,"0.189 unit increase",[0.093-0.285],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:102343343
rs59490629-<b>?</b>,"9 x 10-7",,NR,'-,"0.16 unit increase",[0.076-0.244],PDSS2,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:107256268
rs114450476-<b>?</b>,"6 x 10-6",,NR,'-,"0.285 unit decrease",[0.077-0.493],VTA1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,6:142181498
rs91-<b>?</b>,"7 x 10-7",,NR,'-,"0.157 unit increase",[0.079-0.235],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:24409992
rs73081523-<b>?</b>,"6 x 10-6",,NR,'-,"0.129 unit increase",[0.058-0.2],"ZNRF2, RPS27P16","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:30204283
rs7791980-<b>?</b>,"8 x 10-6",,NR,'-,"0.173 unit decrease",[0.083-0.263],"MINDY4, INMT-MINDY4","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:30846884
rs1583674-<b>?</b>,"4 x 10-6",,NR,'-,"0.146 unit decrease",[0.068-0.224],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:47139764
rs113805659-<b>?</b>,"1 x 10-7",,NR,'-,"0.191 unit decrease",[0.11-0.27],MAGI2,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:78663475
rs113865535-<b>?</b>,"6 x 10-6",,NR,'-,"0.128 unit decrease",[0.057-0.199],CACNA2D1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:82295568
rs6944685-<b>?</b>,"9 x 10-6",,NR,'-,"0.161 unit increase",[0.055-0.267],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:85727431
rs11509197-<b>?</b>,"2 x 10-7",,NR,'-,"0.133 unit decrease",[0.064-0.202],'-,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:118641356
rs7806345-<b>?</b>,"4 x 10-6",,NR,'-,"0.125 unit decrease",[0.054-0.196],"RPL7P59, EI24P4","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:145029551
rs7804216-<b>?</b>,"1 x 10-6",,NR,'-,"0.194 unit decrease",[0.1-0.29],ATP6V0E2,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,7:149941248
rs75785055-<b>?</b>,"2 x 10-6",,NR,'-,"0.211 unit increase",[0.11-0.32],MSRA,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:10174422
rs28448403-<b>?</b>,"6 x 10-6",,NR,'-,"0.131 unit increase",[0.057-0.205],FAM167A,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:11448055
rs141947670-<b>?</b>,"5 x 10-6",,NR,'-,"0.321 unit decrease",[0.15-0.5],PSD3,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:18584539
rs111594438-<b>?</b>,"6 x 10-6",,NR,'-,"0.748 unit increase",[0.32-1.18],EGFLAM,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:38444698
rs277939-<b>?</b>,"3 x 10-6",,NR,'-,"1.082 unit decrease",[0.49-1.67],BDP1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:71560551
rs74543823-<b>?</b>,"2 x 10-6",,NR,'-,"1.306 unit increase",[0.66-1.96],ELL2,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:95895062
rs73790215-<b>?</b>,"6 x 10-6",,NR,'-,"1.37 unit decrease",[0.56-2.18],"HSPA4, FSTL4","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:133121505
rs13175840-<b>?</b>,"1 x 10-6",,NR,'-,"0.809 unit increase",[0.35-1.27],WSPAR,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:133861647
rs73307775-<b>?</b>,"4 x 10-6",,NR,'-,"0.998 unit decrease",[0.46-1.54],"IL12B, UBLCP1","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,5:159299527
rs115395006-<b>?</b>,"4 x 10-6",,NR,'-,"1.264 unit decrease",[0.6-1.93],'-,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,6:86603212
rs17214144-<b>?</b>,"1 x 10-6",,NR,'-,"0.864 unit decrease",[0.45-1.28],OSBPL3,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,7:24846128
rs117854110-<b>?</b>,"5 x 10-7",,NR,'-,"2.739 unit decrease",[1.44-4.04],"EFCAB10, ATXN7L1","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,7:105603002
rs9641609-<b>?</b>,"2 x 10-7",,NR,'-,"0.936 unit decrease",[0.52-1.35],'-,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,7:118657790
rs6956570-<b>?</b>,"9 x 10-6",,NR,'-,"0.788 unit decrease",[0.36-1.22],KCND2,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,7:120181139
rs140365914-<b>?</b>,"3 x 10-6",,NR,'-,"0.502 unit decrease",[0.2-0.81],"INSIG1, BLACE","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,7:155314860
rs6993194-<b>?</b>,"4 x 10-6",,NR,'-,"1.93 unit decrease",[0.88-2.98],EYA1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,8:71117967
rs59811240-<b>?</b>,"8 x 10-7",,NR,'-,"1.356 unit decrease",[0.55-2.16],MTSS1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,8:124709787
rs6559463-<b>?</b>,"9 x 10-6",,NR,'-,"1.834 unit decrease",[0.76-2.91],'-,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,9:79179488
rs10123021-<b>?</b>,"9 x 10-6",,NR,'-,"0.721 unit increase",[0.33-1.11],ACTG1P19,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,9:100689786
rs10978777-<b>?</b>,"1 x 10-7",,NR,'-,"0.628 unit decrease",[0.31-0.95],RAD23B,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,9:107268309
rs10793968-<b>?</b>,"5 x 10-6",,NR,'-,"0.832 unit increase",[0.39-1.27],ABL1,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,9:130754074
rs74155456-<b>?</b>,"1 x 10-6",,NR,'-,"1.087 unit decrease",[0.54-1.63],LINC00845,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,10:61070020
rs73419826-<b>?</b>,"4 x 10-6",,NR,'-,"0.746 unit decrease",[0.34-1.15],"TEAD1, PARVA","Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,11:12624958
rs10896609-<b>?</b>,"9 x 10-6",,NR,'-,"0.646 unit increase",[0.28-1.01],P2RX3,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,11:57341899
rs597539-<b>?</b>,"8 x 10-6",,NR,'-,"1.948 unit decrease",[0.74-3.16],CPT1A,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,11:68834506
rs114223427-<b>?</b>,"9 x 10-6",,NR,'-,"0.619 unit decrease",[0.3-0.94],GRM5,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,11:88570609
rs189380010-<b>?</b>,"8 x 10-6",,NR,'-,"1.43 unit decrease",[0.6-2.26],LINC02405,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,12:126930445
rs543554-<b>?</b>,"5 x 10-7",,NR,'-,"0.993 unit increase",[0.42-1.56],FRY,"Coronary artery calcified atherosclerotic plaque score in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005174,13:32127501
rs629562-<b>?</b>,"6 x 10-6",,NR,'-,"0.116 unit decrease",[0.047-0.185],PTPRM,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,18:7751791
rs874536-<b>?</b>,"8 x 10-6",,NR,'-,"0.131 unit decrease",[0.06-0.202],PTPRM,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,18:8333854
rs6506897-<b>?</b>,"5 x 10-7",,NR,'-,"0.323 unit decrease",[0.14-0.5],DSC1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,18:31215320
rs408302-<b>?</b>,"9 x 10-6",,NR,'-,"0.109 unit increase",[0.04-0.178],GRIK1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,21:29828186
rs4819052-<b>?</b>,"8 x 10-6",,NR,'-,"0.132 unit increase",[0.059-0.205],POFUT2,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,21:45279862
rs1481805-<b>?</b>,"1 x 10-6",,NR,'-,"0.347 unit decrease",[0.16-0.53],EYA1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:71121190
rs73319666-<b>?</b>,"3 x 10-6",,NR,'-,"0.158 unit decrease",[0.074-0.242],"SAMD12-AS1, TNFRSF11B","Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:118918785
rs75629841-<b>?</b>,"1 x 10-6",,NR,'-,"0.235 unit decrease",[0.096-0.374],MTSS1,"Coronary artery calcified atherosclerotic plaque (90 or 130 HU threshold) in type 2 diabetes","coronary artery calcification, type II diabetes mellitus",GCST005175,8:124714135
